11012,Washington,20001,District of Columbia,District of Columbia,Territory
11021,Washington,20007,District of Columbia,District of Columbia,Territory
1102101,Washington,20020,District of Columbia,District of Columbia,Territory
110211,Washington,20016,District of Columbia,District of Columbia,Territory
1102111,Washington,20003,District of Columbia,District of Columbia,Territory
1102121,Washington,20003,District of Columbia,District of Columbia,Territory
1102131,Washington,20003,District of Columbia,District of Columbia,Territory
1102141,Washington,20018,District of Columbia,District of Columbia,Territory
1102151,Washington,20019,District of Columbia,District of Columbia,Territory
1102161,Washington,20032,District of Columbia,District of Columbia,Territory
1102171,Washington,20012,District of Columbia,District of Columbia,Territory
1102181,Washington,20007,District of Columbia,District of Columbia,Territory
1102191,Washington,20007,District of Columbia,District of Columbia,Territory
1102201,Washington,20008,District of Columbia,District of Columbia,Territory
110221,Washington,20015,District of Columbia,District of Columbia,Territory
1102211,Washington,20016,District of Columbia,District of Columbia,Territory
1102221,Washington,20016,District of Columbia,District of Columbia,Territory
1102231,Washington,20016,District of Columbia,District of Columbia,Territory
1102241,Washington,20008,District of Columbia,District of Columbia,Territory
1102251,Washington,20015,District of Columbia,District of Columbia,Territory
1102261,Washington,20011,District of Columbia,District of Columbia,Territory
1102271,Washington,20011,District of Columbia,District of Columbia,Territory
1102281,Washington,20011,District of Columbia,District of Columbia,Territory
1102291,Washington,20011,District of Columbia,District of Columbia,Territory
1102301,Washington,20011,District of Columbia,District of Columbia,Territory
110231,Washington,20011,District of Columbia,District of Columbia,Territory
1102311,Washington,20010,District of Columbia,District of Columbia,Territory
1102321,Washington,20010,District of Columbia,District of Columbia,Territory
1102331,Washington,20001,District of Columbia,District of Columbia,Territory
1102341,Washington,20009,District of Columbia,District of Columbia,Territory
1102351,Washington,20008,District of Columbia,District of Columbia,Territory
1102361,Washington,20009,District of Columbia,District of Columbia,Territory
1102371,Washington,20001,District of Columbia,District of Columbia,Territory
1102381,Washington,20005,District of Columbia,District of Columbia,Territory
1102391,Washington,20009,District of Columbia,District of Columbia,Territory
1102401,Washington,20037,District of Columbia,District of Columbia,Territory
110241,Washington,20011,District of Columbia,District of Columbia,Territory
1102411,Washington,20019,District of Columbia,District of Columbia,Territory
1102421,Washington,20003,District of Columbia,District of Columbia,Territory
1102431,Washington,20020,District of Columbia,District of Columbia,Territory
1102441,Washington,20020,District of Columbia,District of Columbia,Territory
1102451,Washington,20020,District of Columbia,District of Columbia,Territory
1102461,Washington,20020,District of Columbia,District of Columbia,Territory
1102471,Washington,20019,District of Columbia,District of Columbia,Territory
1102481,Washington,20019,District of Columbia,District of Columbia,Territory
1102491,Washington,20002,District of Columbia,District of Columbia,Territory
